Country,Number,Year,State
China,29920,1996,VIC
China,38860,2001,VIC
China,68510,2006,VIC
China,112750,2011,VIC
China,176640,2016,VIC
England,177890,1996,VIC
England,180310,2001,VIC
England,178170,2006,VIC
England,184620,2011,VIC
England,192730,2016,VIC
India,24660,1996,VIC
India,31140,2001,VIC
India,60030,2006,VIC
India,126820,2011,VIC
India,182840,2016,VIC
New Zealand,45410,1996,VIC
New Zealand,60610,2001,VIC
New Zealand,71250,2006,VIC
New Zealand,89270,2011,VIC
New Zealand,102720,2016,VIC
Vietnam,57550,1996,VIC
Vietnam,59490,2001,VIC
Vietnam,65170,2006,VIC
Vietnam,76230,2011,VIC
Vietnam,89930,2016,VIC
